epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,epoch_time_seconds,total_elapsed_seconds,best_updated,record_type,is_best_epoch,selection_metric,best_val_loss,best_val_mae,best_val_mad,test_loss,test_mae,test_mad
1,0.534991730178907,0.5513232244181265,9.723392486572266,9.966816902160645,7.671875,7.76171875,9.723392486572266,9.966816902160645,7.671875,7.76171875,9.723392486572266,9.966816902160645,7.671875,7.76171875,0.00011666666666666667,0.00018333333333333336,True,298.60982269500164,303.7798962559991,True,epoch,False,mae,,,,,,
2,0.5254728144455034,0.551988327319291,9.597700119018555,9.958334922790527,7.578125,7.87109375,9.597700119018555,9.958334922790527,7.578125,7.87109375,9.597700119018555,9.958334922790527,7.578125,7.87109375,0.00018333333333333336,0.00025,True,243.27648360700005,547.0583819669991,False,epoch,False,mae,,,,,,
3,0.5220195374578276,0.5484573128012755,9.55793571472168,9.91683578491211,7.451171875,7.83203125,9.55793571472168,9.91683578491211,7.451171875,7.83203125,9.55793571472168,9.91683578491211,7.451171875,7.83203125,0.00025,0.00024997202599558773,True,242.93641116300023,790.0047392529996,True,epoch,False,mae,,,,,,
4,0.5197304518870633,0.5469862978388184,9.51870346069336,9.887638092041016,7.5478515625,7.859375,9.51870346069336,9.887638092041016,7.5478515625,7.859375,9.51870346069336,9.887638092041016,7.5478515625,7.859375,0.00024997202599558773,0.0002498881167585945,True,242.61238202800087,1032.6207977819995,True,epoch,False,mae,,,,,,
5,0.5168313285655781,0.5540182759350513,9.477956771850586,9.99838638305664,7.4130859375,8.1982421875,9.477956771850586,9.99838638305664,7.4130859375,8.1982421875,9.477956771850586,9.99838638305664,7.4130859375,8.1982421875,0.0002498881167585945,0.0002497483106119162,True,240.52684733600108,1273.150141602,False,epoch,False,mae,,,,,,
6,0.5156011026026316,0.5477375014466959,9.463889122009277,9.920125007629395,7.3916015625,7.84765625,9.463889122009277,9.920125007629395,7.3916015625,7.84765625,9.463889122009277,9.920125007629395,7.3916015625,7.84765625,0.0002497483106119162,0.0002495526714075978,True,240.88697598,1514.0442047300003,False,epoch,False,mae,,,,,,
7,0.5158013230767369,0.5513065404677959,9.469989776611328,9.973607063293457,7.47265625,7.86328125,9.469989776611328,9.973607063293457,7.47265625,7.86328125,9.469989776611328,9.973607063293457,7.47265625,7.86328125,0.0002495526714075978,0.00024930128849767156,True,237.07131979800033,1751.1203481289995,False,epoch,False,mae,,,,,,
8,0.5144012468100202,0.5508045402850543,9.454910278320312,9.96740436553955,7.40234375,7.7275390625,9.454910278320312,9.96740436553955,7.40234375,7.7275390625,9.454910278320312,9.96740436553955,7.40234375,7.7275390625,0.00024930128849767156,0.00024899427669334764,True,242.17606652699942,1993.3030900499998,False,epoch,False,mae,,,,,,
9,0.512295297327165,0.546873420184324,9.428486824035645,9.898863792419434,7.375,7.7734375,9.428486824035645,9.898863792419434,7.375,7.7734375,9.428486824035645,9.898863792419434,7.375,7.7734375,0.00024899427669334764,0.00024863177621257823,True,241.07403567999972,2234.3842997070005,False,epoch,False,mae,,,,,,
10,0.5079171064066726,0.5391241206694786,9.36633586883545,9.805242538452148,7.2265625,7.953125,9.36633586883545,9.805242538452148,7.2265625,7.953125,9.36633586883545,9.805242538452148,7.2265625,7.953125,0.00024863177621257823,0.00024821395261601716,True,241.33607686200048,2475.733478254,True,epoch,False,mae,,,,,,
11,0.5047895545908238,0.5392948166685385,9.32528018951416,9.817997932434082,7.3203125,7.8310546875,9.32528018951416,9.817997932434082,7.3203125,7.8310546875,9.32528018951416,9.817997932434082,7.3203125,7.8310546875,0.00024821395261601716,0.00024774099673140546,True,241.64929623099852,2717.384678568,False,epoch,False,mae,,,,,,
12,0.49320505990115393,0.5190678634282416,9.153862953186035,9.549890518188477,7.171875,7.5625,9.153862953186035,9.549890518188477,7.171875,7.5625,9.153862953186035,9.549890518188477,7.171875,7.5625,0.00024774099673140546,0.00024721312456641657,True,243.53758144899984,2960.9304070729995,True,epoch,False,mae,,,,,,
13,0.4857930350533775,0.5091137488125752,9.049808502197266,9.401811599731445,7.15625,7.40234375,9.049808502197266,9.401811599731445,7.15625,7.40234375,9.049808502197266,9.401811599731445,7.15625,7.40234375,0.00024721312456641657,0.0002466305772100019,True,242.11256354500074,3203.044989529999,True,epoch,False,mae,,,,,,
14,0.47501113336174416,0.5037356700335445,8.91334056854248,9.378143310546875,6.91796875,7.632080078125,8.91334056854248,9.378143310546875,6.91796875,7.632080078125,8.91334056854248,9.378143310546875,6.91796875,7.632080078125,0.0002466305772100019,0.000245993620722281,True,241.69057777799935,3444.7375747469996,True,epoch,False,mae,,,,,,
15,0.4700102870189911,0.5016810959218093,8.843751907348633,9.332662582397461,6.953125,7.43359375,8.843751907348633,9.332662582397461,6.953125,7.43359375,8.843751907348633,9.332662582397461,6.953125,7.43359375,0.000245993620722281,0.0002453025460130268,True,242.3365272659994,3687.0763721740004,True,epoch,False,mae,,,,,,
16,0.4634435939478909,0.49588583161085215,8.746112823486328,9.21537971496582,6.921875,7.25,8.746112823486328,9.21537971496582,6.921875,7.25,8.746112823486328,9.21537971496582,6.921875,7.25,0.0002453025460130268,0.00024455766870880205,True,242.4300483979987,3929.508361295,True,epoch,False,mae,,,,,,
17,0.46269958793975857,0.47910941717166555,8.732307434082031,9.010199546813965,6.859375,7.08984375,8.732307434082031,9.010199546813965,6.859375,7.08984375,8.732307434082031,9.010199546813965,6.859375,7.08984375,0.00024455766870880205,0.00024375932900880674,True,242.05210057299882,4171.562624185999,True,epoch,False,mae,,,,,,
18,0.45823549164859045,0.4721031632864793,8.687360763549805,8.902205467224121,6.82421875,7.0859375,8.687360763549805,8.902205467224121,6.82421875,7.0859375,8.687360763549805,8.902205467224121,6.82421875,7.0859375,0.00024375932900880674,0.00024290789152950267,True,242.95155463099945,4414.516314563001,True,epoch,False,mae,,,,,,
19,0.44774261369088203,0.4791124943763979,8.528312683105469,8.954792976379395,6.6923828125,7.36328125,8.528312683105469,8.954792976379395,6.6923828125,7.36328125,8.528312683105469,8.954792976379395,6.6923828125,7.36328125,0.00024290789152950267,0.00024200374513808664,True,243.26028341299752,4657.778537459,False,epoch,False,mae,,,,,,
20,0.45135414742572433,0.49751099538669347,8.577672958374023,9.199357986450195,6.79296875,7.31640625,8.577672958374023,9.199357986450195,6.79296875,7.31640625,8.577672958374023,9.199357986450195,6.79296875,7.31640625,0.00024200374513808664,0.0002410473027748875,True,241.96496200600086,4899.751057828,False,epoch,False,mae,,,,,,
21,0.4399080007774455,0.46012767852606645,8.430965423583984,8.720038414001465,6.640625,7.3046875,8.430965423583984,8.720038414001465,6.640625,7.3046875,8.430965423583984,8.720038414001465,6.640625,7.3046875,0.0002410473027748875,0.00024003900126476872,True,242.35749239000143,5142.113227029999,True,epoch,False,mae,,,,,,
22,0.4398275634789159,0.453170770849787,8.41792106628418,8.637262344360352,6.6953125,6.94921875,8.41792106628418,8.637262344360352,6.6953125,6.94921875,8.41792106628418,8.637262344360352,6.6953125,6.94921875,0.00024003900126476872,0.00023897930111762248,True,243.1525261559982,5385.26790479,True,epoch,False,mae,,,,,,
23,0.4339895409120929,0.44056617344245,8.336502075195312,8.440505981445312,6.609375,6.7265625,8.336502075195312,8.440505981445312,6.609375,6.7265625,8.336502075195312,8.440505981445312,6.609375,6.7265625,0.00023897930111762248,0.00023786868631804617,True,243.04019777100257,5628.310213887,True,epoch,False,mae,,,,,,
24,0.42674562893502593,0.4424460159946458,8.238754272460938,8.455938339233398,6.421875,6.765625,8.238754272460938,8.455938339233398,6.421875,6.765625,8.238754272460938,8.455938339233398,6.421875,6.765625,0.00023786868631804617,0.0002367076641042978,True,241.80727219600158,5870.120668013,False,epoch,False,mae,,,,,,
