epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,epoch_time_seconds,total_elapsed_seconds,best_updated
1,0.576178927138038,0.5916343706687403,9.788228034973145,10.012240409851074,7.552734375,7.7744140625,9.788228034973145,10.012240409851074,7.552734375,7.7744140625,9.788228034973145,10.012240409851074,7.552734375,7.7744140625,7.25e-05,0.00011499999999999999,True,309.02087516400024,310.47700476799946,True
2,0.5673960062991159,0.5889132447530311,9.67471981048584,9.96823787689209,7.552734375,7.783203125,9.67471981048584,9.96823787689209,7.552734375,7.783203125,9.67471981048584,9.96823787689209,7.552734375,7.783203125,0.00011499999999999999,0.0001575,True,270.13754246200006,580.6195459439996,True
3,0.5623820799227687,0.5860304919399353,9.609112739562988,9.931296348571777,7.5556640625,7.796875,9.609112739562988,9.931296348571777,7.5556640625,7.796875,9.609112739562988,9.931296348571777,7.5556640625,7.796875,0.0001575,0.0002,True,260.596485391,841.2182323719999,True
4,0.5608361983555432,0.5878766922261905,9.585594177246094,9.951229095458984,7.56640625,7.984375,9.585594177246094,9.951229095458984,7.56640625,7.984375,9.585594177246094,9.951229095458984,7.56640625,7.984375,0.0002,5e-06,True,258.6848063990001,1099.9175550890004,False
5,0.5551870855731926,0.5869415185896244,9.501368522644043,9.936331748962402,7.443359375,7.905029296875,9.501368522644043,9.936331748962402,7.443359375,7.905029296875,9.501368522644043,9.936331748962402,7.443359375,7.905029296875,5e-06,0.0002,True,257.68079767699965,1357.7000994639993,False
