epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,epoch_time_seconds,total_elapsed_seconds,best_updated,record_type,is_best_epoch,selection_metric,best_val_loss,best_val_mae,best_val_mad,test_loss,test_mae,test_mad
1,0.5786582940134102,0.5949145953417827,9.82115364074707,10.058734893798828,7.58203125,7.90771484375,9.82115364074707,10.058734893798828,7.58203125,7.90771484375,9.82115364074707,10.058734893798828,7.58203125,7.90771484375,7.25e-05,0.00011499999999999999,True,357.09877142799996,363.179300928,True,epoch,False,mae,,,,,,
2,0.5646801309341551,0.587550236499995,9.635326385498047,9.941605567932129,7.513671875,7.9375,9.635326385498047,9.941605567932129,7.513671875,7.9375,9.635326385498047,9.941605567932129,7.513671875,7.9375,0.00011499999999999999,0.0001575,True,263.94280256599995,627.1245844109999,True,epoch,False,mae,,,,,,
3,0.5592563780408981,0.5872581941382581,9.563923835754395,9.955018997192383,7.446044921875,7.947998046875,9.563923835754395,9.955018997192383,7.446044921875,7.947998046875,9.563923835754395,9.955018997192383,7.446044921875,7.947998046875,0.0001575,0.0002,True,263.51773224299995,890.6465385540005,False,epoch,False,mae,,,,,,
4,0.5585753278119211,0.5838402459531145,9.557458877563477,9.895219802856445,7.48681640625,7.883056640625,9.557458877563477,9.895219802856445,7.48681640625,7.883056640625,9.557458877563477,9.895219802856445,7.48681640625,7.883056640625,0.0002,5e-06,True,260.1432772170001,1150.792336863,True,epoch,False,mae,,,,,,
5,0.5547003313245028,0.5836658860657359,9.509021759033203,9.892927169799805,7.400390625,7.955078125,9.509021759033203,9.892927169799805,7.400390625,7.955078125,9.509021759033203,9.892927169799805,7.400390625,7.955078125,5e-06,0.0002,True,262.0487629620002,1412.8456704260007,False,epoch,True,mae,,,,,,
5,,,,,,,,,,,,,,,,,,,,,best_model,True,mae,0.5838402459531145,9.895219802856445,7.883056640625,,,
