epoch,train_loss,val_loss,train_mae,val_mae,train_mad,val_mad,train_final_mae,val_final_mae,train_final_mad,val_final_mad,train_relative_mae,val_relative_mae,train_relative_mad,val_relative_mad,lr_start,lr_end,eval_ran,epoch_time_seconds,total_elapsed_seconds,best_updated
1,0.5350704101227907,0.5524639351003467,9.721911430358887,9.983949661254883,7.634765625,7.76171875,9.721911430358887,9.983949661254883,7.634765625,7.76171875,9.721911430358887,9.983949661254883,7.634765625,7.76171875,0.00011666666666666667,0.00018333333333333336,True,266.893258553,271.992783297,True
2,0.5251965144796029,0.549357276477787,9.588827133178711,9.934972763061523,7.5908203125,7.92138671875,9.588827133178711,9.934972763061523,7.5908203125,7.92138671875,9.588827133178711,9.934972763061523,7.5908203125,7.92138671875,0.00018333333333333336,0.00025,True,219.09088967500003,491.085340479,True
3,0.5220217851097956,0.548882720179511,9.557463645935059,9.92705249786377,7.444091796875,7.826171875,9.557463645935059,9.92705249786377,7.444091796875,7.826171875,9.557463645935059,9.92705249786377,7.444091796875,7.826171875,0.00025,0.00024997202599558773,True,218.93782640900008,710.025220218,False
4,0.5190910353966259,0.5456946182050344,9.512773513793945,9.867250442504883,7.5078125,7.90625,9.512773513793945,9.867250442504883,7.5078125,7.90625,9.512773513793945,9.867250442504883,7.5078125,7.90625,0.00024997202599558773,0.0002498881167585945,True,220.18648583300012,930.240540919,True
5,0.5165195431220382,0.5491876903121969,9.480741500854492,9.925811767578125,7.48828125,7.994140625,9.480741500854492,9.925811767578125,7.48828125,7.994140625,9.480741500854492,9.925811767578125,7.48828125,7.994140625,0.0002498881167585945,0.0002497483106119162,True,219.20937580400005,1149.4529587400002,False
6,0.5156099838955202,0.5469943982187193,9.46689510345459,9.901782035827637,7.380859375,7.80859375,9.46689510345459,9.901782035827637,7.380859375,7.80859375,9.46689510345459,9.901782035827637,7.380859375,7.80859375,0.0002497483106119162,0.0002495526714075978,True,219.197914696,1368.667657595,False
7,0.5143900980521282,0.5484709049174027,9.45106029510498,9.927642822265625,7.40234375,7.986328125,9.45106029510498,9.927642822265625,7.40234375,7.986328125,9.45106029510498,9.927642822265625,7.40234375,7.986328125,0.0002495526714075978,0.00024930128849767156,True,218.48448352700007,1587.1589390559998,False
8,0.5136282522535958,0.5520355397153536,9.449341773986816,9.985639572143555,7.3671875,7.796875,9.449341773986816,9.985639572143555,7.3671875,7.796875,9.449341773986816,9.985639572143555,7.3671875,7.796875,0.00024930128849767156,0.00024899427669334764,True,223.11984615799997,1810.292386041,False
9,0.512024780675332,0.5477423193076885,9.42919921875,9.916401863098145,7.370361328125,7.84765625,9.42919921875,9.916401863098145,7.370361328125,7.84765625,9.42919921875,9.916401863098145,7.370361328125,7.84765625,0.00024899427669334764,0.00024863177621257823,True,227.65778463200013,2037.9565506070003,False
10,0.5115897672095165,0.5460070123344786,9.417527198791504,9.881752014160156,7.34375,8.0625,9.417527198791504,9.881752014160156,7.34375,8.0625,9.417527198791504,9.881752014160156,7.34375,8.0625,0.00024863177621257823,0.00024821395261601716,True,227.14872725999976,2265.112777913,False
11,0.5112955602026011,0.5429332156000766,9.405380249023438,9.844637870788574,7.3896484375,7.937744140625,9.405380249023438,9.844637870788574,7.3896484375,7.937744140625,9.405380249023438,9.844637870788574,7.3896484375,7.937744140625,0.00024821395261601716,0.00024774099673140546,True,226.85249262200023,2491.9673594240003,True
